Ticker,Avg Volatility,Volatility Percentage
TRENT,0.4327193512829128,43.271935128291275
BEL,0.2357990454122242,23.579904541222422
BAJAJ-AUTO,0.2167251530334623,21.67251530334623
M&M,0.2090560917164697,20.90560917164697
BPCL,0.1880915874359763,18.809158743597628
BHARTIARTL,0.1683887437754733,16.83887437754733
ADANIPORTS,0.1645504699961148,16.45504699961148
NTPC,0.1637803238013014,16.37803238013014
SHRIRAMFIN,0.1607164954644789,16.07164954644789
HEROMOTOCO,0.149969790085392,14.9969790085392
POWERGRID,0.1450603175895848,14.506031758958478
SUNPHARMA,0.143956848515813,14.3956848515813
COALINDIA,0.1232544834527356,12.32544834527356
ONGC,0.1203125801573578,12.03125801573578
HINDALCO,0.1187061438394799,11.87061438394799
HCLTECH,0.1110511457113019,11.105114571130189
TECHM,0.1092855767487576,10.92855767487576
SBIN,0.1064638097762709,10.64638097762709
WIPRO,0.1039047980861649,10.39047980861649
GRASIM,0.1010985294298896,10.10985294298896
APOLLOHOSP,0.0979079498343453,9.79079498343453
EICHERMOT,0.0942311168550273,9.42311168550273
ICICIBANK,0.093961419410555,9.3961419410555
TATAMOTORS,0.0909743289796016,9.09743289796016
CIPLA,0.0832558823661838,8.32558823661838
ULTRACEMCO,0.0829758457117151,8.297584571171509
INFY,0.0817599783838227,8.175997838382271
ADANIENT,0.0813661514525225,8.13661514525225
JSWSTEEL,0.080855963560422,8.0855963560422
INDUSINDBK,0.0729698653326305,7.29698653326305
TATASTEEL,0.071278791925119,7.127879192511901
SBILIFE,0.0704327445041281,7.04327445041281
BRITANNIA,0.0703952130167736,7.039521301677359
TCS,0.0564187848520742,5.64187848520742
LT,0.0546251473863982,5.46251473863982
DRREDDY,0.0543720955110956,5.43720955110956
AXISBANK,0.0508606460426657,5.08606460426657
TATACONSUM,0.0501043123729098,5.01043123729098
RELIANCE,0.0451679526554952,4.516795265549519
HDFCLIFE,0.0444782715471656,4.44782715471656
MARUTI,0.0438477705125945,4.384777051259451
HDFCBANK,0.0427873834780035,4.27873834780035
BAJAJFINSV,0.0375007557878971,3.7500755787897098
BAJFINANCE,0.0374333866067253,3.74333866067253
ITC,0.0358090894332962,3.58090894332962
ASIANPAINT,0.0324883902059645,3.24883902059645
NESTLEIND,0.0309233593599411,3.09233593599411
HINDUNILVR,0.0253132769742967,2.53132769742967
TITAN,0.0247289737242813,2.47289737242813
KOTAKBANK,0.0198003205813865,1.9800320581386501
