Month,Monthly Return (%),Ticker
1,7.70601947072536,ADANIENT
2,4.182654193752976,ADANIENT
3,-3.6655367231638447,ADANIENT
4,-6.0699240490759845,ADANIENT
5,12.230227661534412,ADANIENT
6,-12.841368904739042,ADANIENT
7,-0.4522897166907497,ADANIENT
8,-6.151216100707129,ADANIENT
9,3.080058511250261,ADANIENT
10,-7.496625969053072,ADANIENT
11,6.370360348171198,ADANIENT
12,20.580268337071995,ADANIENT
1,15.250274371331793,ADANIPORTS
2,8.33982852689011,ADANIPORTS
3,1.493835564632025,ADANIPORTS
4,-3.706664728541318,ADANIPORTS
5,7.364804302360334,ADANIPORTS
6,-6.682660437513818,ADANIPORTS
7,6.469989827060027,ADANIPORTS
8,-6.807533880451529,ADANIPORTS
9,-3.098026095684172,ADANIPORTS
10,-6.2385008517887535,ADANIPORTS
11,7.333246651930825,ADANIPORTS
12,23.74365788837883,ADANIPORTS
1,10.485126216293764,APOLLOHOSP
2,-2.9636049904976893,APOLLOHOSP
3,4.459854734282062,APOLLOHOSP
4,-7.900422006272015,APOLLOHOSP
5,-2.0030040865646903,APOLLOHOSP
6,5.7167760459392944,APOLLOHOSP
7,7.732269359172708,APOLLOHOSP
8,3.2968507694142968,APOLLOHOSP
9,4.638047688606906,APOLLOHOSP
10,-1.826416993436649,APOLLOHOSP
11,15.269308148565106,APOLLOHOSP
12,2.0201568550298368,APOLLOHOSP
1,-12.904508112246402,ASIANPAINT
2,-3.6680492259374886,ASIANPAINT
3,0.5297077778758718,ASIANPAINT
4,0.17067223963776004,ASIANPAINT
5,-3.165960879209527,ASIANPAINT
6,1.7652496991051778,ASIANPAINT
7,5.350433772798676,ASIANPAINT
8,0.8856695758788221,ASIANPAINT
9,5.653850426061985,ASIANPAINT
10,-10.426106457961458,ASIANPAINT
11,6.316130241433947,ASIANPAINT
12,7.216234953047204,ASIANPAINT
1,-2.7284321763687753,AXISBANK
2,-0.8439013142725471,AXISBANK
3,-4.735046622697289,AXISBANK
4,10.711233501092032,AXISBANK
5,1.0697047440970722,AXISBANK
6,3.3785439986926957,AXISBANK
7,-7.591726761233075,AXISBANK
8,0.251642071142203,AXISBANK
9,3.6507402422611115,AXISBANK
10,-19.956792891207765,AXISBANK
11,10.542292652809225,AXISBANK
12,-0.21273706603902923,AXISBANK
1,14.422259032099205,BAJAJ-AUTO
2,3.3125428599418782,BAJAJ-AUTO
3,13.782252597931599,BAJAJ-AUTO
4,-1.5317153553081955,BAJAJ-AUTO
5,-0.2842826801600285,BAJAJ-AUTO
6,1.780310536717554,BAJAJ-AUTO
