,Ticker,Average_Correlation,Percentage
0,ADANIENT,0.7387509823389601,73.87509823389601
1,ADANIPORTS,0.7350635139815733,73.50635139815734
2,APOLLOHOSP,0.7645063874856279,76.4506387485628
3,ASIANPAINT,-0.2991590553895064,-29.91590553895064
4,AXISBANK,0.7268970653020864,72.68970653020864
5,BAJAJ-AUTO,0.7490060561332793,74.90060561332793
6,BAJAJFINSV,0.6946783296767122,69.46783296767121
7,BAJFINANCE,-0.6491748601476399,-64.917486014764
8,BEL,0.7570460385026943,75.70460385026942
9,BHARTIARTL,0.762058978643913,76.2058978643913
10,BPCL,0.7747568556315046,77.47568556315046
11,BRITANNIA,0.7575331297410532,75.75331297410533
12,CIPLA,0.7696992349827496,76.96992349827497
13,COALINDIA,0.7507260571538278,75.07260571538278
14,DRREDDY,0.7572079322763356,75.72079322763356
15,EICHERMOT,0.730248390762638,73.0248390762638
16,GRASIM,0.7710939179657139,77.10939179657139
17,HCLTECH,0.7111601275088084,71.11601275088084
18,HDFCBANK,0.6640952061272057,66.40952061272057
19,HDFCLIFE,0.7401894061167511,74.0189406116751
20,HEROMOTOCO,0.7270426847784403,72.70426847784402
21,HINDALCO,0.7252714575704899,72.527145757049
22,HINDUNILVR,0.5544989447332789,55.44989447332789
23,ICICIBANK,0.7244118507259614,72.44118507259614
24,INDUSINDBK,-0.4419934137867324,-44.19934137867324
25,INFY,0.7258693579798284,72.58693579798285
26,ITC,0.6914688995176063,69.14688995176063
27,JSWSTEEL,0.6920718427649715,69.20718427649714
28,KOTAKBANK,0.4662236130438493,46.62236130438493
29,LT,0.6801113469129837,68.01113469129837
30,M&M,0.7629270017031259,76.29270017031259
31,MARUTI,0.7202753551056168,72.02753551056168
32,NESTLEIND,0.0811394260188238,8.11394260188238
33,NTPC,0.7663088960395465,76.63088960395466
34,ONGC,0.7766326846336429,77.66326846336429
35,POWERGRID,0.7615376814979878,76.15376814979878
36,RELIANCE,0.7153860342832593,71.53860342832593
37,SBILIFE,0.7475969382154853,74.75969382154854
38,SBIN,0.6927062413693338,69.27062413693338
39,SHRIRAMFIN,0.7784087923863714,77.84087923863714
40,SUNPHARMA,0.7640539696390019,76.40539696390019
41,TATACONSUM,0.6999010818021439,69.99010818021439
42,TATAMOTORS,0.7486793725846721,74.86793725846721
43,TATASTEEL,0.7549300791529744,75.49300791529744
44,TCS,0.6768949073981813,67.68949073981813
45,TECHM,0.7516810728375767,75.16810728375766
46,TITAN,0.3642693299277571,36.42693299277571
47,TRENT,0.728765409839919,72.8765409839919
48,ULTRACEMCO,0.6982371525947524,69.82371525947524
49,WIPRO,0.7320965410061986,73.20965410061986
