,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHRIRAMFIN,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,TRENT,ULTRACEMCO,WIPRO
BPCL,0.9297805360557319,0.905111920725632,0.9707482835542454,-0.3753073488512379,0.8886716576789144,0.9519286751344599,0.799012247070335,-0.7933298396465479,0.9767171211996923,0.9477040175981954,1.0,0.9576372837071733,0.9713775808764709,0.9258877856362749,0.9189475475673644,0.8961487661258355,0.9814343511059311,0.8337120677569954,0.8153018672851631,0.8798199521802377,0.8836101303296204,0.870736612417927,0.687102492073582,0.9161822805474897,-0.5194160810081402,0.8498010517814308,0.8175610501119372,0.8094224495671061,0.5337141149708369,0.8289478163028411,0.9815355501214528,0.8668821267155976,0.09280013426476286,0.9495690776474907,0.9883063305864221,0.9453601089418748,0.811043850572899,0.9242806263980387,0.8126202771256329,0.9945363780210651,0.9466601264579085,0.810831047784258,0.901115692518542,0.9112357089856391,0.7771724005865183,0.951004078974156,0.3742872388682727,0.9250817806566549,0.786181601721007,0.9283722547715468
BRITANNIA,0.9067394875241633,0.8532751279307916,0.9466649269655514,-0.2583471231808364,0.8577690819379563,0.8993652919573266,0.8215844311250067,-0.7592684879414154,0.9122632638089133,0.8887741165192505,0.9576372837071733,1.0,0.9637538846447182,0.9145822388633977,0.9064300556890736,0.854828992712273,0.9581274645109612,0.7714270755179022,0.7598721476288134,0.8656832263708174,0.8322364478466148,0.8223777547550603,0.7852686103409833,0.8883674373718322,-0.45057893651360825,0.7795621728685189,0.8211910296819842,0.7661858518553388,0.6077012557207433,0.7952568031529075,0.9246003090460437,0.8878432692645286,0.21204644867528466,0.900355741495139,0.9659583444611163,0.8891739727918363,0.7914083555263064,0.9256448090171804,0.7467826596136476,0.9614790810862749,0.8969512739213178,0.8354207156551922,0.8785457495011717,0.893440118828135,0.7230700179803575,0.8973303421177512,0.4384637114894864,0.8441999315228719,0.7220556489743957,0.8731550727124142
CIPLA,0.9360191885660938,0.8840369217560999,0.9655766542779821,-0.3972644031904494,0.8903387699926375,0.9344451318315196,0.8172183883088447,-0.8003945640838009,0.9495638330389342,0.924586472411872,0.9713775808764709,0.9637538846447182,1.0,0.9127610978879196,0.9300549134237647,0.8886326605169826,0.9761192591283824,0.8204058338479724,0.8185939715104575,0.8768081133809822,0.8736548776049755,0.8543493068594952,0.7019321749124686,0.9133864503463696,-0.5384506943484543,0.8396001521112998,0.8301487035784832,0.8171733880850894,0.5409573199837728,0.8326518755112384,0.9667706204344441,0.8902269208408311,0.12864515174747634,0.9286506138503287,0.9777630612844833,0.9288216182658756,0.8035770869760099,0.9335619190180692,0.7966728287316795,0.9751326396313792,0.9297140026959044,0.8204670305647281,0.8960715675277201,0.9148379553597402,0.7797194841305005,0.9386879447445667,0.37260988206748846,0.8711152143872064,0.7825955643876308,0.9212833797193006
COALINDIA,0.8518767113534926,0.8309943426783277,0.8723909665299014,-0.3854220294901451,0.8173587900229635,0.8938171766004296,0.7555637743901367,-0.7528506767106983,0.869876293124829,0.9437504584900486,0.9258877856362749,0.9145822388633977,0.9127610978879196,1.0,0.9453493088446691,0.7747451383171358,0.8912159927630181,0.8654041283142659,0.7065480614577797,0.9138825292082363,0.9171437382006394,0.9108983674399028,0.7226979506257998,0.8650888921240795,-0.5594339796547856,0.8328197979463347,0.757830938392043,0.7694595880153751,0.6085627692908693,0.7540098248701615,0.8856107406377395,0.942707785329535,0.1943210871505325,0.9579606058479279,0.9261552270540783,0.9490398074702268,0.8686787812150061,0.9041828871609529,0.8508432131632636,0.9204781569152412,0.9506343675346001,0.8000077138939057,0.8324462039836611,0.9488504693872565,0.813194512775976,0.8423762415607398,0.3780715280323964,0.8287184705514212,0.8072734203528724,0.807941662141653
DRREDDY,0.8826424431405847,0.8274684234585772,0.910675257989872,-0.3856997941481706,0.8418154502957599,0.8776939563932433,0.7759516539669851,-0.7709913071748727,0.8911107614825802,0.9643852118992025,0.9189475475673644,0.9064300556890736,0.9300549134237647,0.9453493088446691,1.0,0.8235594800764401,0.9163555994552136,0.8701826325511528,0.7882891492558204,0.9479734421259783,0.9146314638037982,0.9149755988075388,0.6807538006898463,0.8581248943517853,-0.6155535659039402,0.8968359566425554,0.7709793297875711,0.7691379548110319,0.5369716249146268,0.771372467499148,0.9039958309648023,0.9026703941225269,0.11810056123119955,0.9709976780829652,0.9192496950901726,0.9652267707018997,0.8677273170290862,0.8907715521247717,0.855680047892757,0.9203678239857049,0.9708970014376574,0.7760836828300255,0.8416135167284658,0.970558624935278,0.8474318823351376,0.9012077058011106,0.34324456014232124,0.8118680891337294,0.8429250983193082,0.8793550692306727
EICHERMOT,0.8938477320511924,0.9561933636566519,0.9391844106777074,-0.4093695524917666,0.8409742345381737,0.8198821145147549,0.8871639581753276,-0.8490775415833502,0.9262660972454573,0.8520461093786584,0.8961487661258355,0.854828992712273,0.8886326605169826,0.7747451383171358,0.8235594800764401,1.0,0.9246421815602944,0.8650673971091983,0.8095112017544224,0.8270549520725904,0.7319376784339255,0.734933365459076,0.4711197211130357,0.8852370817592394,-0.5983302626613972,0.8993060922960276,0.9269498873662427,0.866565397408705,0.3884826683747246,0.9187484451214083,0.9132942040605542,0.7123282191774453,-0.17353105625724696,0.847165277902916,0.8945816612551574,0.8403117478503899,0.850781925995126,0.7886250403119098,0.850601026177954,0.9108414981632029,0.851394405314285,0.855678483445583,0.9562221168851663,0.8148533005938519,0.8376050936588076,0.9388510776138892,0.42251524550311337,0.9205125350956694,0.8032787935355689,0.9302571707695874
GRASIM,0.9478536785771153,0.9060410044297561,0.9861497163105644,-0.3903599649915784,0.9050819445700614,0.9211622881846708,0.8179149168775591,-0.8005849177900285,0.9739228373460136,0.9323466549731644,0.9814343511059311,0.9581274645109612,0.9761192591283824,0.8912159927630181,0.9163555994552136,0.9246421815602944,1.0,0.8261064569230566,0.8494376866776733,0.8806042169574358,0.8491938564684754,0.8423426395256535,0.6610839691699789,0.9334768360926973,-0.559385594144246,0.8566446985119681,0.8496581380154028,0.8168397148934972,0.504178790730027,0.8577971235498828,0.9777983457961116,0.8446034936568692,0.040106455877648155,0.9318150444025418,0.9814122694759682,0.9320509204920464,0.8080980174844016,0.9101290123415907,0.8113873159566567,0.9869422120713159,0.9331327347320256,0.8049613041112934,0.9060749797019212,0.9083911226321736,0.7866059002012524,0.9714497254048021,0.3748635255609993,0.8941327442628895,0.7771638776390238,0.9581753561015526
HCLTECH,0.8209223318479234,0.928021913199904,0.8427595427716159,-0.6045533384514561,0.7742981138259273,0.7953903432903778,0.8058801961890182,-0.8689583958245417,0.8485835975652887,0.8944460374031926,0.8337120677569954,0.7714270755179022,0.8204058338479724,0.8654041283142659,0.8701826325511528,0.8650673971091983,0.8261064569230566,1.0,0.7327987333817951,0.8774109656242085,0.8171292880868387,0.8242716226180936,0.423942856924672,0.8827869012561756,-0.7701809408730522,0.9445874002569792,0.8637508615053859,0.8897030028802125,0.39638486224170816,0.8774472998002447,0.8399702251557942,0.783587410167509,-0.18897248764562485,0.8888054172188387,0.8198111275254824,0.8788747298640895,0.9307618067156156,0.7650567088896268,0.9847535929627945,0.8385563246455184,0.8932717517952568,0.8162894021783873,0.8725112491730129,0.8567312439932951,0.9792015971572107,0.8617554265718909,0.3092194777951311,0.860303311246068,0.878489095291671,0.8399001771977979
HDFCBANK,0.8498907852458221,0.7833657062009418,0.8565728756797704,-0.4550410250520051,0.9289924887390855,0.8446141887123944,0.6673166325530747,-0.6881468119804398,0.8519605954041043,0.7976826407723846,0.8153018672851631,0.7598721476288134,0.8185939715104575,0.7065480614577797,0.7882891492558204,0.8095112017544224,0.8494376866776733,0.7327987333817951,1.0,0.7614345400549244,0.80514429510807,0.8175730070165956,0.4323802289186331,0.82268167083409,-0.6011425556277067,0.77689459939309,0.7170207531513435,0.8359957905265185,0.39851498063501856,0.7830987118000796,0.8472874261557577,0.6703015140456597,-0.15179224775976458,0.7913027729731567,0.8147934938342996,0.797286091892444,0.6706123195259411,0.8235036591248854,0.7330137317720001,0.8265438383874597,0.7855688195671623,0.6072495595543175,0.7481366533255049,0.7799016400450862,0.7262236524039808,0.8910691146200296,0.174021274880566,0.7291187309019774,0.7849286864658537,0.8885326576062538
HDFCLIFE,0.858041863559036,0.8302916073534756,0.8833469195726642,-0.3558015006518478,0.816849181645511,0.8260765119032553,0.792549787348385,-0.7459313735968767,0.8587965642791577,0.9359196634843597,0.8798199521802377,0.8656832263708174,0.8768081133809822,0.9138825292082363,0.9479734421259783,0.8270549520725904,0.8806042169574358,0.8774109656242085,0.7614345400549244,1.0,0.8723479917479994,0.8807387442274984,0.6224124778172179,0.8372790254513501,-0.6310670921324265,0.8965570156418892,0.7830643673981862,0.7638855906171645,0.5410683283746187,0.7788092686433475,0.8610749644576402,0.8650759599308898,0.044068738274669804,0.942600296574131,0.879385440362453,0.9304697574961054,0.8924010019346188,0.8532536930671578,0.8689253441016782,0.8870215329196356,0.9415021968933508,0.783928612945563,0.8414187386559758,0.9461866139264077,0.856643401384276,0.8732972551217688,0.3720920765504152,0.8016630819913779,0.84122572710717,0.8513289914828853
